2014.09.17,16:00,1.63367,1.63575,1.62964,1.62985,13272
2014.09.17,20:00,1.62975,1.63301,1.62477,1.62578,15019
2014.09.18,00:00,1.62575,1.62707,1.62455,1.62668,7753
2014.09.18,04:00,1.62668,1.63219,1.62558,1.63105,8665
2014.09.18,08:00,1.63107,1.63190,1.62660,1.63060,13982
2014.09.18,12:00,1.63057,1.63934,1.63005,1.63888,15102
2014.09.18,16:00,1.63885,1.64084,1.63458,1.63719,10783
2014.09.18,20:00,1.63719,1.64583,1.63562,1.64373,6599
2014.09.19,00:00,1.64387,1.65234,1.64100,1.65067,15501
2014.09.19,04:00,1.65066,1.65237,1.64221,1.64760,17697
2014.09.19,08:00,1.64763,1.64807,1.63539,1.63985,14599
2014.09.19,12:00,1.63982,1.63987,1.63221,1.63350,12871
2014.09.19,16:00,1.63348,1.63441,1.62954,1.63111,11218
2014.09.19,20:00,1.63113,1.63152,1.62841,1.62856,3649
2014.09.22,00:00,1.62901,1.63439,1.62892,1.63407,6421
2014.09.22,04:00,1.63405,1.63639,1.63367,1.63463,7595
2014.09.22,08:00,1.63464,1.63649,1.63225,1.63310,13855
2014.09.22,12:00,1.63319,1.63457,1.63234,1.63447,12599
2014.09.22,16:00,1.63449,1.63551,1.63255,1.63547,11114
2014.09.22,20:00,1.63546,1.63672,1.63496,1.63606,5800
2014.09.23,00:00,1.63605,1.63880,1.63577,1.63803,5907
2014.09.23,04:00,1.63801,1.63899,1.63724,1.63774,5160
2014.09.23,08:00,1.63771,1.63945,1.63022,1.63885,13493
2014.09.23,12:00,1.63886,1.64149,1.63755,1.63763,12438
2014.09.23,16:00,1.63763,1.63779,1.63524,1.63649,9220
2014.09.23,20:00,1.63651,1.64058,1.63646,1.63895,4143
2014.09.24,00:00,1.63889,1.64046,1.63836,1.63994,6786
2014.09.24,04:00,1.63994,1.64124,1.63897,1.63981,5235
2014.09.24,08:00,1.63983,1.64060,1.63722,1.64030,10549
2014.09.24,12:00,1.64028,1.64128,1.63514,1.63587,12229
2014.09.24,16:00,1.63586,1.63605,1.63268,1.63409,9813
2014.09.24,20:00,1.63408,1.63440,1.63289,1.63354,3548
2014.09.25,00:00,1.63354,1.63371,1.63146,1.63311,5467
2014.09.25,04:00,1.63313,1.63327,1.63151,1.63285,6930
2014.09.25,08:00,1.63284,1.63300,1.62755,1.63024,13800
2014.09.25,12:00,1.63022,1.63411,1.62764,1.63368,12981
2014.09.25,16:00,1.63373,1.63401,1.62939,1.63029,12079
2014.09.25,20:00,1.63030,1.63186,1.63027,1.63167,3634
2014.09.26,00:00,1.63164,1.63321,1.63151,1.63225,5783
2014.09.26,04:00,1.63224,1.63229,1.62948,1.63018,6981
2014.09.26,08:00,1.63018,1.63300,1.62858,1.63223,13600
2014.09.26,12:00,1.63219,1.63268,1.62584,1.62658,15035
2014.09.26,16:00,1.62664,1.62729,1.62374,1.62449,11176
2014.09.26,20:00,1.62448,1.62531,1.62416,1.62422,3634
2014.09.29,00:00,1.62368,1.62508,1.62251,1.62392,7185
2014.09.29,04:00,1.62390,1.62418,1.62159,1.62176,6974
2014.09.29,08:00,1.62175,1.62612,1.62140,1.62282,11863
2014.09.29,12:00,1.62282,1.62551,1.62155,1.62408,12370
2014.09.29,16:00,1.62405,1.62737,1.62324,1.62442,9556
2014.09.29,20:00,1.62441,1.62513,1.62374,1.62416,2975
2014.09.30,00:00,1.62412,1.62444,1.62240,1.62359,6276
2014.09.30,04:00,1.62357,1.62674,1.62354,1.62566,7118
2014.09.30,08:00,1.62566,1.62867,1.61926,1.61995,13942
2014.09.30,12:00,1.61995,1.62246,1.61658,1.62145,14799
2014.09.30,16:00,1.62152,1.62290,1.62021,1.62078,11721
2014.09.30,20:00,1.62078,1.62170,1.61992,1.62143,3616
2014.10.01,00:00,1.62140,1.62184,1.61878,1.61940,6274
2014.10.01,04:00,1.61940,1.62008,1.61785,1.61974,7940
2014.10.01,08:00,1.61973,1.62131,1.61611,1.62029,14585
2014.10.01,12:00,1.62030,1.62248,1.61792,1.62245,13496
2014.10.01,16:00,1.62240,1.62513,1.61734,1.61763,13129
2014.10.01,20:00,1.61762,1.61866,1.61717,1.61819,5181
2014.10.02,00:00,1.61819,1.61992,1.61813,1.61973,7073
2014.10.02,04:00,1.61973,1.62492,1.61956,1.62147,10277
2014.10.02,08:00,1.62148,1.62240,1.61554,1.61691,16512
2014.10.02,12:00,1.61690,1.61750,1.61280,1.61430,17319
2014.10.02,16:00,1.61431,1.61494,1.61122,1.61424,13696
2014.10.02,20:00,1.61422,1.61617,1.61352,1.61491,5146
2014.10.03,00:00,1.61491,1.61582,1.61272,1.61288,6422
2014.10.03,04:00,1.61290,1.61399,1.61241,1.61395,4499
2014.10.03,08:00,1.61394,1.61394,1.60659,1.60663,10615
2014.10.03,12:00,1.60663,1.60838,1.59764,1.59764,15143
2014.10.03,16:00,1.59764,1.59790,1.59514,1.59732,11475
2014.10.03,20:00,1.59732,1.59776,1.59619,1.59667,2821
2014.10.06,00:00,1.59674,1.59827,1.59533,1.59753,4916
2014.10.06,04:00,1.59755,1.59886,1.59741,1.59869,3544
2014.10.06,08:00,1.59869,1.59895,1.59593,1.59865,12295
2014.10.06,12:00,1.59866,1.60073,1.59733,1.60055,12677
2014.10.06,16:00,1.60064,1.60387,1.59950,1.60338,11701
2014.10.06,20:00,1.60335,1.60983,1.60325,1.60807,7351
2014.10.07,00:00,1.60806,1.60850,1.60403,1.60429,9077
